stop_id,stop_name,stop_latitude,stop_longitude
58565,Sainte-Anne / Lalonde,45.4051159,-73.9499048
58577,Sainte-Anne / Terminus Macdonald,45.4036897,-73.9407050
58524,Gare Baie-D'Urfé,45.4183578,-73.9170886
58526,Gare Baie-D'Urfé,45.4190415,-73.9164568
58256,Parc-nature du Cap-Saint-Jacques,45.4615982,-73.9205453
58306,Gouin / Pilon,45.4617832,-73.9184088
58085,Gouin / du Cap-Saint-Jacques,45.4612778,-73.9197848
58323,Gouin / du Cap-Saint-Jacques,45.4612028,-73.9195450
58320,Gouin / Pilon,45.4616000,-73.9186201
57619,Bord-du-Lac / Pointe-Claire,45.4287943,-73.8308508
58504,Lakeshore / Morgan,45.4084193,-73.9158658
58502,Lakeshore / Morgan,45.4087431,-73.9152515
58388,de l'Anse-à-l'Orme / Timberlea-Trail,45.4375699,-73.9011394
58420,de l'Anse-à-l'Orme / Timberlea-Trail,45.4374021,-73.9012537
61250,de l'Anse-à-l'Orme / Timberlea-Trail,45.4374956,-73.9009718
58334,de l'Anse-à-l'Orme / Sainte-Marie,45.4367438,-73.8989103
57832,Sommerset / de Salaberry,45.4661908,-73.8493174
57663,Hymus / Hastings,45.4615993,-73.8172860
58406,Brunswick / Nelligan,45.4506693,-73.8736714
60583,Gouin / du Palomino,45.4604350,-73.9050430
57742,Gare Valois (Donegani / de la Baie-de-Valois),45.4499066,-73.7913923
60255,Montrose / Windermere,45.4384997,-73.8740623
57729,Broadview / Belmont,45.4525220,-73.7963210
58221,Antoine-Faucon / Henri-Daoust,45.4570803,-73.8730714
57803,Bord-du-Lac / Sainte-Anne,45.4289380,-73.8257780
58555,Sainte-Anne / Marguerite-Bourgeoys,45.4049858,-73.9561798
57618,Bord-du-Lac / Pointe-Claire,45.4288918,-73.8307890
58358,Hymus / de la Caravelle,45.4498780,-73.8504608
57676,Lakeview / Saint-Jean,45.4381464,-73.8131748
60800,Sainte-Marie / No 19925,45.4348650,-73.9031952
60698,du Collège / Christie,45.4057840,-73.9527152
57752,Belmont / Chester,45.4564110,-73.7865930
58507,Lakeshore / Normandy,45.4120940,-73.9058860
57821,Terminus Fairview,45.4651621,-73.8310657
58568,Maple / Sainte-Anne,45.4032573,-73.9445066
57627,Brunswick / Revcon,45.4683829,-73.8278632
58367,De Salaberry / Berkshire,45.4643324,-73.8511231
58297,du Château-Pierrefonds / Oka,45.4632773,-73.8952827
58459,Sherbrooke / Castle,45.4384050,-73.8537810
58089,de Pierrefonds / Nanterre,45.4650201,-73.8812200
57693,Hymus / Nordic,45.4659565,-73.8082727
58430,Sherbrooke / Montrose,45.4378850,-73.8758000
57765,Donegani / des Sources,45.4500659,-73.7812998
58517,Lakeshore / No 20713,45.4053351,-73.9282946
58243,des Cageux / Legault,45.4632508,-73.8847747
61725,Sainte-Anne / Perrault,45.4027104,-73.9453164
58380,Henri-Daoust / Dragon,45.4550610,-73.8713964
58315,Gouin / No 20752,45.4572660,-73.9298370
58473,Beaconsfield / Saint-Charles,45.4309730,-73.8460314
58102,Saint-Charles / Saint-Denis,45.4657550,-73.8735319
57706,Delmar / Hearne,45.4670080,-73.8034120
58444,Sherbrooke / Westcroft,45.4366758,-73.8649572
58535,Firing / Clark-Graham,45.4245410,-73.9093960
61374,du Château-Pierrefonds / Oka,45.4631278,-73.8954295
58259,du Château-Pierrefonds / du Manoir,45.4613454,-73.8942592
57657,Hymus / Carlisle,45.4600560,-73.8198209
58400,Jean-Yves / Cinéma,45.4409200,-73.8876580
60414,de Pierrefonds / du Château-Pierrefonds,45.4597368,-73.8919650
58482,Gare Beaconsfield,45.4356815,-73.8476888
57715,Bord-du-Lac / Lakeside,45.4435916,-73.8015948
57795,Terminus Fairview,45.4655527,-73.8312747
60673,Clark-Graham / No 19700,45.4231956,-73.9134891
58344,Brunswick / Shannon,45.4539575,-73.8668083
61309,Saint-Jean / Brunswick,45.4680372,-73.8299676
57670,Transcanadienne / Doyon,45.4683090,-73.8162390
